Date	Unit	Страна	Объем
2007	mln units	Finland	0.024
2007	mln units	France	2.550869
2007	mln units	Germany	5.709139
2007	mln units	Hungary	0.287982
2007	mln units	India	1.713479
2007	mln units	Indonesia	0.309208
2007	mln units	Iran	0.882
2007	mln units	Italy	0.91086
2007	mln units	Kazakhstan	-0.183108707385181
2007	mln units	Japan	9.944637
2007	mln units	Malaysia	0.347971
2007	mln units	Mexico	1.209097
2007	mln units	Morocco	0.370680272082267
2007	mln units	Netherlands	0.061912
2007	mln units	Poland	0.695
2007	mln units	Portugal	0.134047
2007	mln units	Romania	0.234103
2007	mln units	Russia	1.288652
2007	mln units	Serbia	0.008236
2007	mln units	Slovakia	0.571071
2007	mln units	Slovenia	0.174209
2007	mln units	South Africa	0.276018
2007	mln units	South Korea	3.723482
2007	mln units	Spain	2.19578
2007	mln units	Sweden	0.31685
2007	mln units	Taiwan	0.212685
2007	mln units	Thailand	0.315444
2007	mln units	Turkey	0.634883
2007	mln units	Ukraine	0.380061
2007	mln units	United Kingdom	1.534567
2007	mln units	United States	3.924268
2007	mln units	Uzbekistan	0.17
2008	mln units	Argentina	0.399236
2008	mln units	Australia	0.28559
2008	mln units	Austria	0.125836
2008	mln units	Belgium	0.680131
2008	mln units	Brazil	2.545729
2008	mln units	Canada	1.195436
2008	mln units	China	6.737745
2008	mln units	Colombia	0.069
2008	mln units	Czech Republic	0.934046
2008	mln units	Egypt	0.072485
2008	mln units	Finland	0.017519
2008	mln units	France	2.145935
2008	mln units	Germany	5.53203
2008	mln units	Hungary	0.342359
2008	mln units	India	1.846051
2008	mln units	Indonesia	0.431423
2008	mln units	Iran	0.94087
2008	mln units	Italy	0.659221
2008	mln units	Kazakhstan	-0.164130340205044
2008	mln units	Japan	9.928143
2008	mln units	Malaysia	0.484512
2008	mln units	Mexico	1.217458
2008	mln units	Morocco	0.370680272082267
2008	mln units	Netherlands	0.059223
2008	mln units	Poland	0.842
2008	mln units	Portugal	0.132242
2008	mln units	Romania	0.231056
2008	mln units	Russia	1.469429
2008	mln units	Serbia	0.009818
2008	mln units	Slovakia	0.575776
2008	mln units	Slovenia	0.180233
2008	mln units	South Africa	0.321124
2008	mln units	South Korea	3.450478
