Год	Ед. Изм.	Страна	Объем
2009	млн штук	Судан (до 2012)	0.12069975
2009	млн штук	Вьетнам	0.048252
2009	млн штук	Сомали	6.3e-05
2009	млн штук	Сирийская Арабская Республика	0.087192
2009	млн штук	Суда и бункеры	1e-06
2009	млн штук	Токелау	1.2e-05
2009	млн штук	Объединенные Арабские Эмираты	0.833748
2009	млн штук	Туркменистан	0.0153063333333333
2009	млн штук	Острова Теркс и Кайкос	0.000807333333333333
2009	млн штук	Тувалу	8e-06
2009	млн штук	Северные Марианские острова	0.000265
2009	млн штук	Микронезия (Федеративные Штаты)	0.000713
2009	млн штук	Маршалловы Острова	0.000251
2009	млн штук	Палау	0.0015135
2009	млн штук	Папуа-Новая Гвинея	0.0191747142857143
2009	млн штук	Питкэрн	1e-06
2009	млн штук	Саудовская Аравия	0.430149
2009	млн штук	Сьерра-Леоне	0.0120446
2009	млн штук	Катар	0.082197
2009	млн штук	Гвинея-Бисау	0.000842
2009	млн штук	Российская Федерация	0.521341
2009	млн штук	Руанда	0.004093
2009	млн штук	Остров Святой Елены	0.00013775
2009	млн штук	Сент-Китс и Невис	0.000639
2009	млн штук	Ангилья	0.00044725
2009	млн штук	Сент-Люсия	0.0019895
2009	млн штук	Сен-Пьер и Микелон	0.000264
2010	млн штук	Джибути	2.62760925
2010	млн штук	Соединенные Штаты Америки	5.717462
2010	млн штук	Германия	2.708336
2010	млн штук	Франция	2.019923
2010	млн штук	Пакистан	0.775942
2010	млн штук	Соединенное Королевство Великобритании и Северной Ирландии	2.462944
2010	млн штук	Бельгия	1.467156
2010	млн штук	Италия	1.755258
2010	млн штук	Канада	1.148093
2010	млн штук	Австралия	0.824567
2010	млн штук	Турция	0.431604
2010	млн штук	Китай	0.795268
2010	млн штук	Нидерланды	0.632791
2010	млн штук	Швеция	0.33221
2010	млн штук	Польша	0.347673
2010	млн штук	Греция	0.327052
2010	млн штук	Филиппины	0.081975
2010	млн штук	Нигерия	14690.482181
2010	млн штук	Австрия	0.380383
2010	млн штук	Япония	0.232688
2010	млн штук	Португалия	0.263067
2010	млн штук	Словакия	0.124947
2010	млн штук	Швейцария	0.333815
2010	млн штук	Республика Корея	0.125044
2010	млн штук	Украина	0.106775
2010	млн штук	Южная Африка	0.361352
2010	млн штук	Таиланд	0.045515
2010	млн штук	Ирландия	0.090749
2010	млн штук	Чехия	0.149922
2010	млн штук	Бразилия	0.612248
2010	млн штук	Новая Зеландия	0.170173
2010	млн штук	Сербия	0.018465
2010	млн штук	Дания	0.205675
2010	млн штук	Гватемала	0.015774
2010	млн штук	Израиль	0.217098
2010	млн штук	Китайский Тайбэй	0.074095
2010	млн штук	Люксембург	0.072693
2010	млн штук	Чили	0.23532
2010	млн штук	Румыния	0.078954
2010	млн штук	Марокко	0.062668
2010	млн штук	Кыргызстан	0.026059
2010	млн штук	Объединенная Республика Танзания	0.01505
2010	млн штук	Норвегия	0.18314
2010	млн штук	Казахстан	0.022236
2010	млн штук	Перу	0.108013
2010	млн штук	Аргентина	0.417702
2010	млн штук	Колумбия	0.132726
2010	млн штук	Финляндия	0.141251
2010	млн штук	Доминиканская Республика	0.022353
2010	млн штук	Зимбабве	0.200864
2010	млн штук	Индонезия	0.092538
2010	млн штук	Эквадор	0.066979
2010	млн штук	Словения	0.099165
2010	млн штук	Гондурас	0.006435
2010	млн штук	Литва	0.131475
2010	млн штук	Малайзия	0.456168
2010	млн штук	Босния и Герцеговина	0.014557
2010	млн штук	Хорватия	0.047688
2010	млн штук	Эфиопия	0.011252
2010	млн штук	Мьянма	0.000181
2010	млн штук	Мозамбик	0.00445
2010	млн штук	Египет	3.734431
2010	млн штук	Болгария	0.055232
2010	млн штук	Кения	0.058897
2010	млн штук	Сальвадор	0.004241
2010	млн штук	Азербайджан	0.028898
2010	млн штук	Коста-Рика	0.022233
2010	млн штук	Лесото	0.0018596
2010	млн штук	Таджикистан	0.0276134
2010	млн штук	Панама	0.061691
2010	млн штук	Армения	0.003122
2010	млн штук	Парагвай	0.0227
2010	млн штук	Монголия	0.026378
2010	млн штук	Демократическая Республика Конго	0.0334861111111111
2010	млн штук	Тунис	0.054882
2010	млн штук	Замбия	0.004528
2010	млн штук	Китай, Специальный административный район Гонконг	0.079626
2010	млн штук	Ямайка	0.006731
2010	млн штук	Эстония	0.01867
2010	млн штук	Кипр	0.032366
2010	млн штук	Иордания	0.046758
2010	млн штук	Боливия (Многонациональное Государство)	0.02073
2010	млн штук	Сенегал	0.006825
2010	млн штук	Кот-д'Ивуар	0.009473
2010	млн штук	Гана	0.0274
2010	млн штук	Уганда	0.031942
2010	млн штук	Камбоджа	0.006577
2010	млн штук	Уругвай	0.034343
2010	млн штук	Северная Македония	0.058412
2010	млн штук	Исландия	0.004129
2010	млн штук	Буркина-Фасо	0.014595
2010	млн штук	Багамские Острова	0.010996
2010	млн штук	Латвия	0.014335
2010	млн штук	Ботсвана	0.025414
2010	млн штук	Сингапур	0.04678
2010	млн штук	Черногория	0.107897
2010	млн штук	Бахрейн	18.565653
2010	млн штук	Маврикий	0.010206
2010	млн штук	Мавритания	0.002931
2010	млн штук	Республика Молдова	0.005187
2010	млн штук	Гайана	0.008256
2010	млн штук	Индия	0.014523
2010	млн штук	Мальта	0.011958
2010	млн штук	Никарагуа	0.003668
2010	млн штук	Тринидад и Тобаго	0.114044
2010	млн штук	Центральноафриканская Республика	0.00182
2010	млн штук	Габон	0.009947
2010	млн штук	Нигер	0.002117
2010	млн штук	Мадагаскар	0.002327
2010	млн штук	Белиз	0.000471
2010	млн штук	Гамбия	0.005585
2010	млн штук	Бруней-Даруссалам	0.017734
2010	млн штук	Малави	0.002979
2010	млн штук	Либерия	0.00805342857142857
2010	млн штук	Андорра	0.003599
2010	млн штук	Суринам	0.00272
2010	млн штук	Барбадос	0.003882
2010	млн штук	Тимор-Лешти	0.000764875
2010	млн штук	Фиджи	0.001395
2010	млн штук	Эсватини	0.006392
2010	млн штук	Того	0.009584
2010	млн штук	Аруба	0.002251
2010	млн штук	Антигуа и Барбуда	0.003434
2010	млн штук	Французская Полинезия	0.004687
2010	млн штук	Мальдивские Острова	0.000191
2010	млн штук	Остров Норфолк	5.8e-05
2010	млн штук	Сейшельские Острова	0.00124
2010	млн штук	Кабо-Верде	0.000919
2010	млн штук	Сент-Винсент и Гренадины	0.000538
2010	млн штук	Зоны Свободной Торговли	0.00379
2010	млн штук	Доминика	0.000335
2010	млн штук	Гренада	0.000426
2010	млн штук	Шри-Ланка	0.121667
2010	млн штук	Бутан	0.003478
2010	млн штук	Грузия	0.047886
2010	млн штук	Гуам	2.5e-06
