Date	measure	Country	Volume
1999	mln units	Greece	2.928881
1999	mln units	Spain	16.847
1999	mln units	France	29.2722
1999	mln units	Croatia	1.066
1999	mln units	Italy	32.038291
1999	mln units	Cyprus	0.257
1999	mln units	Latvia	0.526
1999	mln units	Lithuania	1.089334
1999	mln units	Luxembourg	0.263475
1999	mln units	Hungary	2.255526
1999	mln units	Malta	0.1823
1999	mln units	Netherlands	6.3432
1999	mln units	Austria	4.0096
1999	mln units	Poland	9.2828
1999	mln units	Portugal	4.692002035815
1999	mln units	Romania	2.7021
1999	mln units	Slovenia	0.846109
1999	mln units	Slovakia	1.2364
1999	mln units	Finland	2.08258
1999	mln units	Sweden	3.8902
1999	mln units	United Kingdom	24.084535
1999	mln units	Iceland	0.134281043824319
1999	mln units	Liechtenstein	0.021
1999	mln units	Norway	1.7106512267425
1999	mln units	Switzerland	3.467311
1999	mln units	North Macedonia	0.24620171046454
1999	mln units	Albania	-0.374565955930299
1999	mln units	Serbia	0.674321934483446
1999	mln units	Türkiye	4.0723
1999	mln units	Bosnia and Herzegovina	0.585265460587801
2000	mln units	Belgium	4.6784
2000	mln units	Bulgaria	2.43573239163355
2000	mln units	Czechia	3.4389
2000	mln units	Denmark	1.8541
2000	mln units	Germany	42.423254
2000	mln units	Estonia	0.4639
2000	mln units	Ireland	1.3192
2000	mln units	Greece	3.195065
2000	mln units	Spain	17.452
2000	mln units	France	29.8079
2000	mln units	Croatia	1.1438
2000	mln units	Italy	32.583815
2000	mln units	Cyprus	0.2676
2000	mln units	Latvia	0.5568
2000	mln units	Lithuania	1.172394
2000	mln units	Luxembourg	0.273086
2000	mln units	Hungary	2.364706
2000	mln units	Malta	0.1891
2000	mln units	Netherlands	6.53904
2000	mln units	Austria	4.0972
2000	mln units	Poland	9.9913
2000	mln units	Portugal	4.692002035815
2000	mln units	Romania	2.7776
2000	mln units	Slovenia	0.866096
2000	mln units	Slovakia	1.2742
2000	mln units	Finland	2.13473
2000	mln units	Sweden	3.9986
2000	mln units	United Kingdom	24.68358
2000	mln units	Iceland	0.141164985625887
2000	mln units	Liechtenstein	0.0218
2000	mln units	Norway	1.76361007035561
2000	mln units	Switzerland	3.545247
2000	mln units	North Macedonia	0.254955595655423
2000	mln units	Albania	-0.33057349831195
2000	mln units	Serbia	0.745297937813573
2000	mln units	Türkiye	4.4222
2000	mln units	Bosnia and Herzegovina	0.602620800754776
2001	mln units	Belgium	4.7399
2001	mln units	Bulgaria	2.43573239163355
2001	mln units	Czechia	3.5298
